INDEX	DATE	SPOT	FUTURES	RETSPOT	RETFUTURES
19      90.07200    32421.52000    32825.00000       -1.93692       -1.49674
19      90.07230    31894.79000    32315.00000       -1.63797       -1.56589
19      90.07240    31702.46000    32110.00000       -0.60484       -0.63640
19      90.07250    31701.27000    32230.00000       -0.00375        0.37302
19      90.07260    31369.75000    31765.00000       -1.05127       -1.45326
19      90.07270    30863.48000    31025.00000       -1.62704       -2.35717
19      90.07300    30442.95000    30885.00000       -1.37192       -0.45227
19      90.07310    31035.66000    31690.00000        1.92824        2.57305
20      90.08010    30837.99000    30975.00000       -0.63895       -2.28207
20      90.08020    30245.18000    30345.00000       -1.94105       -2.05487
20      90.08060    28599.53000    28694.00000       -5.59465       -5.59437
20      90.08070    27653.07000    27744.00000       -3.36535       -3.36684
20      90.08080    28509.14000    28575.00000        3.04880        2.95126
20      90.08090    27615.73000    28575.00000       -3.18392        0.00000
20      90.08100    27329.55000    28279.00000       -1.04170       -1.04127
20      90.08130    26176.43000    27086.00000       -4.31091       -4.31025
20      90.08140    26672.53000    27225.00000        1.87748        0.51187
20      90.08150    28112.12000    28270.00000        5.25666        3.76655
20      90.08160    27549.44000    27704.00000       -2.02186       -2.02244
20      90.08170    26786.72000    26937.00000       -2.80760       -2.80760
20      90.08200    26490.47000    26690.00000       -1.11212       -0.92118
20      90.08210    26297.84000    26496.00000       -0.72982       -0.72952
20      90.08220    25210.91000    25265.00000       -4.22100       -4.75737
20      90.08230    23737.63000    24025.00000       -6.02153       -5.03251
20      90.08240    24165.76000    24250.00000        1.78752        0.93217
20      90.08270    25141.76000    25175.00000        3.95935        3.74348
20      90.08280    25710.76000    25720.00000        2.23794        2.14175
20      90.08290    24894.79000    24735.00000       -3.22510       -3.90497
20      90.08300    25669.96000    25885.00000        3.06629        4.54444
20      90.08310    25978.37000    25925.00000        1.19428        0.15441
21      90.09030    25420.43000    25470.00000       -2.17111       -1.77065
21      90.09040    24907.64000    24810.00000       -2.03786       -2.62545
21      90.09050    24078.34000    23975.00000       -3.38619       -3.42352
21      90.09060    23811.91000    23930.00000       -1.11268       -0.18787
21      90.09070    23962.07000    24170.00000        0.62863        0.99793
21      90.09100    25080.90000    25090.00000        4.56344        3.73572
21      90.09110    24604.66000    24780.00000       -1.91707       -2.47123
21      90.09120    25216.14000    25450.00000        2.45484        2.66789
21      90.09130    25075.08000    25365.00000       -0.56097       -0.33455
21      90.09140    24897.46000    24990.00000       -0.71087       -1.48945
21      90.09170    24365.60000    24456.00000       -2.15935       -2.16002
21      90.09180    23884.82000    24035.00000       -1.99292       -1.73645
21      90.09190    23726.17000    23860.00000       -0.66645       -0.73077
21      90.09200    23602.98000    23745.00000       -0.52057       -0.48314
21      90.09210    23777.83000    23790.00000        0.73807        0.18933
21      90.09250    23359.32000    23371.00000       -1.77576       -1.77694
21      90.09260    22250.62000    22385.00000       -4.86262       -4.31048
21      90.09270    21771.91000    22075.00000       -2.17493       -1.39453
21      90.09280    20983.50000    21276.00000       -3.68842       -3.68661
22      90.10010    20221.86000    20770.00000       -3.69722       -2.40700
22      90.10020    22898.41000    23519.00000       12.43033       12.42990
22      90.10030    22849.39000    23469.00000       -0.21431       -0.21282
22      90.10040    22278.19000    22375.00000       -2.53162       -4.77361
22      90.10050    22827.65000    23125.00000        2.43643        3.29700
22      90.10080    23630.00000    24125.00000        3.45446        4.23344
22      90.10090    23495.11000    23990.00000       -0.57248       -0.56116
22      90.10110    22585.63000    22835.00000       -3.94785       -4.93426
22      90.10120    22390.16000    22775.00000       -0.86923       -0.26310
22      90.10150    23109.20000    23630.00000        3.16092        3.68536
22      90.10160    23606.10000    24270.00000        2.12743        2.67239
22      90.10170    23859.36000    24270.00000        1.06714        0.00000
22      90.10180    24367.08000    24525.00000        2.10564        1.04520
22      90.10190    24481.49000    24930.00000        0.46843        1.63789
22      90.10220    25070.86000    25480.00000        2.37889        2.18219
22      90.10230    25298.30000    25430.00000        0.90310       -0.19643
22      90.10240    24876.88000    25240.00000       -1.67983       -0.74995
22      90.10250    25352.63000    25860.00000        1.89436        2.42673
22      90.10260    25005.64000    25545.00000       -1.37811       -1.22558
22      90.10290    25329.31000    25635.00000        1.28608        0.35170
22      90.10300    25242.40000    25495.00000       -0.34371       -0.54763
22      90.10310    25194.10000    25270.00000       -0.19153       -0.88644
23      90.11010    24295.16000    24368.00000       -3.63327       -3.63471
23      90.11020    24194.99000    24495.00000       -0.41316        0.51982
23      90.11050    24385.33000    24810.00000        0.78361        1.27778
23      90.11060    23965.75000    24005.00000       -1.73560       -3.29847
23      90.11070    23500.25000    23805.00000       -1.96147       -0.83665
23      90.11080    22969.81000    23090.00000       -2.28303       -3.04960
23      90.11090    22931.80000    22975.00000       -0.16562       -0.49930
23      90.11130    23973.67000    24220.00000        4.44316        5.27721
23      90.11140    23937.44000    24005.00000       -0.15124       -0.89166
23      90.11150    23487.48000    23560.00000       -1.89762       -1.87118
23      90.11160    23171.63000    23335.00000       -1.35388       -0.95960
23      90.11190    23518.16000    23785.00000        1.48442        1.91008
23      90.11200    23205.48000    23370.00000       -1.33844       -1.76020
23      90.11210    22816.99000    23050.00000       -1.68830       -1.37874
23      90.11220    23400.28000    23790.00000        2.52426        3.15996
23      90.11260    23697.54000    23925.00000        1.26233        0.56586
23      90.11270    23623.51000    23860.00000       -0.31288       -0.27205
